Abs(f18) "f2*(f20 - Abs(f18))/f0" f1*f18**2/f2
0.166712 -1.241870 0.027776
0.279317 -1.835021 0.078094
0.269597 -2.212210 0.072617
0.730162 -4.412128 0.534457
0.118743 -1.988208 0.014106
0.051695 -1.345682 0.002672
0.195263 -1.270463 0.038101
0.246054 -1.802661 0.060595
0.319043 -2.260985 0.101680
0.621469 -4.310545 0.387039
0.102268 -1.972255 0.010463
0.076486 -1.370305 0.005848
0.220949 -1.296260 0.048779
0.216582 -1.774027 0.046943
0.375748 -2.316835 0.141009
0.526595 -4.221973 0.277798
0.086735 -1.957119 0.007525
0.094031 -1.387783 0.008839
0.240370 -1.315776 0.057727
0.195067 -1.753018 0.038077
0.402725 -2.343450 0.161968
0.442842 -4.143691 0.196405
0.079356 -1.949920 0.006299
0.107228 -1.400925 0.011493
0.250255 -1.325692 0.062570
0.186526 -1.744664 0.034815
0.414697 -2.355277 0.171734
0.410784 -4.113967 0.168980
0.073998 -1.944695 0.005477
0.109732 -1.403412 0.012036
0.257521 -1.333008 0.066254
0.177790 -1.736117 0.031629
0.425685 -2.366144 0.180947
0.379940 -4.085460 0.144542
0.069951 -1.940742 0.004894
0.118244 -1.411897 0.013975
0.265733 -1.341243 0.070545
0.170747 -1.729214 0.029172
0.436180 -2.376506 0.189973
0.349130 -4.056897 0.122037
0.061831 -1.932813 0.003824
0.130393 -1.424022 0.016994
0.284403 -1.359988 0.080800
0.159235 -1.717930 0.025370
0.454572 -2.394696 0.206317
0.264400 -3.976938 0.069971
