materials,property,E,E_tet,E_oct,A,B,C,Cation,Metal,Anion,U,ELN_A,ELN_B,ELN_X,DELNAX,DELNBX,R_AX,R_BX,U_emp,E_site,oxidation_state,E_metal,OCV
MgMo2O4,4.47073493,-444.3252284,-449.4792365,-445.496943,8.580673584,8.580673584,8.580673584,0.72,0.54,1.4,0.377155258,1.31,2.16,3.44,4.5369,1.6384,2.12,1.94,0.395545954,3.98229355,2,-1.595,-3.374504045
CaMo2O4,0.4864695,-447.3686158,-443.0492518,-443.2427286,9.178936867,9.178936867,9.178936867,0.99,0.54,1.4,0.39243005,1,2.16,3.44,5.9536,1.6384,2.39,1.94,0.404531942,-0.19347685,2,-2,1.15968201
AlMo2O4,2.28281902,-465.7883289,-463.0852644,-460.8463859,8.433615377,8.433615377,8.433615377,0.53,0.54,1.4,0.368982282,1.61,2.16,3.44,3.3489,1.6384,1.93,1.94,0.387089269,2.23887843,3,-3.75,-0.34897849
LiTc2O4,0.44186034,-418.7695349,-414.556333,-414.1144726,8.65059485,8.65059485,8.65059485,0.76,0.5,1.4,0.386588349,0.98,2.1,3.44,6.0516,1.7956,2.16,1.9,0.399218828,0.44186034,1,-1.906,2.3072019
NaTc2O4,0.25757916,-409.6221639,-406.6084352,-406.5005031,8.921609531,8.921609531,8.921609531,1.02,0.5,1.4,0.394092287,0.93,2.1,3.44,6.3001,1.7956,2.42,1.9,0.407591464,0.10793215,1,-1.315,1.6987287
KTc2O4,0.24884999,-400.2769144,-397.8881649,-397.9657378,9.243245367,9.243245367,9.243245367,1.38,0.5,1.4,0.401876582,0.82,2.1,3.44,6.8644,1.7956,2.78,1.9,0.416375814,-0.07757289,1,-1.09375,1.29499945
MgTc2O4,4.55812523,-417.1405612,-413.1028433,-412.9019653,8.547506292,8.547506292,8.547506292,0.72,0.5,1.4,0.379205649,1.31,2.1,3.44,4.5369,1.7956,2.12,1.9,0.397699146,0.20087801,2,-1.595,1.221358955
CaTc2O4,0.66011672,-425.0233444,-420.7847346,-421.2991246,8.991641534,8.991641534,8.991641534,0.99,0.5,1.4,0.391861475,1,2.1,3.44,5.9536,1.7956,2.39,1.9,0.40673405,-0.51438998,2,-2,1.119304915
AlTc2O4,0.77691435,-437.4119239,-431.7027655,-431.6738274,8.402098759,8.402098759,8.402098759,0.53,0.5,1.4,0.370925992,1.61,2.1,3.44,3.3489,1.7956,1.93,1.9,0.389196427,0.02893808,3,-3.75,0.653052793
LiRu2O4,0.98570471,-385.6086743,-381.479828,-380.4941232,8.47812898,8.47812898,8.47812898,0.76,0.56,1.4,0.382777759,0.98,2.2,3.44,6.0516,1.5376,2.16,1.96,0.396040113,0.98570471,1,-1.906,2.22284637
NaRu2O4,0.3308953,-375.0259211,-371.3348343,-371.2370525,8.878919752,8.878919752,8.878919752,1.02,0.56,1.4,0.3958155,0.93,2.2,3.44,6.3001,1.5376,2.42,1.96,0.404346084,0.09778181,1,-1.315,2.37608675
KRu2O4,0.21051153,-366.7389315,-363.7567514,-363.8181118,9.181947452,9.181947452,9.181947452,1.38,0.56,1.4,0.40407211,0.82,2.2,3.44,6.8644,1.5376,2.78,1.96,0.41306049,-0.06136039,1,-1.09375,1.88843005
MgRu2O4,0.32870773,-388.4472565,-383.764519,-383.4567123,8.599024674,8.599024674,8.599024674,0.72,0.56,1.4,0.382766006,1.31,2.2,3.44,4.5369,1.5376,2.12,1.96,0.394532532,0.30780667,2,-1.595,1.54386876
CaRu2O4,1.0538898,-396.2152682,-390.8091084,-391.2055445,8.939065371,8.939065371,8.939065371,0.99,0.56,1.4,0.392720177,1,2.2,3.44,5.9536,1.5376,2.39,1.96,0.403495496,-0.3964361,2,-2,1.70307988
AlRu2O4,0.72031353,-406.0497719,-399.782788,-399.5418955,8.425131229,8.425131229,8.425131229,0.53,0.56,1.4,0.373160016,1.61,2.2,3.44,3.3489,1.5376,1.93,1.96,0.386097514,0.2408925,3,-3.75,0.838994613
LiRh2O4,0.56979916,-350.6469259,-345.4528343,-344.8830352,8.570755128,8.570755128,8.570755128,0.76,0.55,1.4,0.387655364,0.98,2.28,3.44,6.0516,1.3456,2.16,1.95,0.39654381,0.56979916,1,-1.906,3.28809154
NaRh2O4,0.21973027,-341.8184248,-337.51961,-337.4201947,8.864843751,8.864843751,8.864843751,1.02,0.55,1.4,0.396610247,0.93,2.28,3.44,6.3001,1.3456,2.42,1.95,0.404860345,0.09941533,1,-1.315,2.98381483
KRh2O4,0.28606032,-333.5861372,-329.8748836,-330.0511019,9.167082255,9.167082255,9.167082255,1.38,0.55,1.4,0.403790851,0.82,2.28,3.44,6.8644,1.3456,2.78,1.95,0.413585834,-0.1762183,1,-1.09375,2.61750359
MgRh2O4,0.40961482,-357.957859,-352.0813361,-351.8611797,8.62624381,8.62624381,8.62624381,0.72,0.55,1.4,0.385615466,1.31,2.28,3.44,4.5369,1.3456,2.12,1.95,0.395034311,0.22015635,2,-1.595,2.14076146
CaRh2O4,0.76689206,-368.1522451,-360.9734997,-361.6451777,8.938864795,8.938864795,8.938864795,0.99,0.55,1.4,0.394295565,1,2.28,3.44,5.9536,1.3456,2.39,1.95,0.404008675,-0.67167795,2,-2,2.58937266
AlRh2O4,0.83521144,-371.0413968,-365.941154,-365.6229653,8.476146662,8.476146662,8.476146662,0.53,0.55,1.4,0.374469832,1.61,2.28,3.44,3.3489,1.3456,1.93,1.95,0.386588565,0.31818867,3,-3.75,0.45008095
LiPd2O4,0.31146954,-300.2192784,-295.4778226,-295.1869859,8.721325238,8.721325238,8.721325238,0.76,0.63,1.4,0.387955827,0.98,2.2,3.44,6.0516,1.5376,2.16,2.03,0.392763279,0.29083669,1,-1.906,2.83545584
NaPd2O4,0.18123304,-292.2240977,-288.1929791,-288.1647486,9.000213898,9.000213898,9.000213898,1.02,0.63,1.4,0.395522902,0.93,2.2,3.44,6.3001,1.5376,2.42,2.03,0.401000526,0.02823044,1,-1.315,2.71611861
KPd2O4,0.28788304,-284.825688,-281.3985331,-281.619423,9.335516152,9.335516152,9.335516152,1.38,0.63,1.4,0.403046249,0.82,2.2,3.44,6.8644,1.5376,2.78,2.03,0.409642829,-0.22088987,1,-1.09375,2.33340481
MgPd2O4,0.79701584,-304.395538,-299.3962737,-299.9561459,8.800742902,8.800742902,8.800742902,0.72,0.63,1.4,0.383894676,1.31,2.2,3.44,4.5369,1.5376,2.12,2.03,0.391268171,-0.55987227,2,-1.595,1.70213215
CaPd2O4,1.0814435,-315.5726563,-308.871845,-309.9532885,9.140301017,9.140301017,9.140301017,0.99,0.63,1.4,0.393266873,1,2.2,3.44,5.9536,1.5376,2.39,2.03,0.400156976,-1.0814435,2,-2,2.350405635
AlPd2O4,1.08914983,-325.8772591,-319.5377508,-319.8225732,8.641909099,8.641909099,8.641909099,0.53,0.63,1.4,0.371643831,1.61,2.2,3.44,3.3489,1.5376,1.93,2.03,0.382902944,-0.28482235,3,-3.75,0.86316942
LiAg2O4,0.40650303,-231.3164157,-225.6113613,-226.0178644,8.94354153,8.94354153,8.94354153,0.76,0.68,1.4,0.384837258,0.98,1.93,3.44,6.0516,2.2801,2.16,2.08,0.390653015,-0.40650303,1,-1.906,3.79905434
